date,emprunts_Mâ‚¬
2023-10-31,11877
2023-09-30,11439
2023-08-31,13580
2023-07-31,15168
2023-06-30,16035
2023-05-31,15323
2023-04-30,14689
2023-03-31,15818
2023-02-28,13981
2023-01-31,15708
2022-12-31,19133
2022-11-30,17968
2022-10-31,18201
2022-09-30,19612
2022-08-31,24113
2022-07-31,27413
2022-06-30,27962
2022-05-31,27803
2022-04-30,26277
2022-03-31,27034
2022-02-28,21939
2022-01-31,22674
2021-12-31,27153
2021-11-30,22690
2021-10-31,23989
2021-09-30,24198
2021-08-31,26094
2021-07-31,31737
2021-06-30,31448
2021-05-31,25751
2021-04-30,24552
2021-03-31,23385
2021-02-28,18043
2021-01-31,17809
2020-12-31,25536
2020-11-30,21517
2020-10-31,23813
2020-09-30,23054
2020-08-31,21034
2020-07-31,23378
2020-06-30,21983
2020-05-31,21533
2020-04-30,23287
2020-03-31,20838
2020-02-29,23857
2020-01-31,24202
2019-12-31,28234
2019-11-30,22800
2019-10-31,25462
2019-09-30,21817
2019-08-31,23149
2019-07-31,28944
2019-06-30,22068
2019-05-31,18821
2019-04-30,19541
2019-03-31,18542
2019-02-28,17171
2019-01-31,18514
2018-12-31,20515
2018-11-30,17357
2018-10-31,19018
2018-09-30,16538
2018-08-31,19754
2018-07-31,22982
2018-06-30,19928
2018-05-31,17191
2018-04-30,16737
2018-03-31,17150
2018-02-28,14640
2018-01-31,17352
2017-12-31,19749
2017-11-30,16668
2017-10-31,15251
2017-09-30,14950
2017-08-31,17781
2017-07-31,24486
2017-06-30,26092
2017-05-31,26965
2017-04-30,27738
2017-03-31,34221
2017-02-28,32818
2017-01-31,39062
2016-12-31,38294
2016-11-30,30054
2016-10-31,26923
2016-09-30,27456
2016-08-31,27872
2016-07-31,26555
2016-06-30,23978
2016-05-31,18022
2016-04-30,15919
2016-03-31,15292
2016-02-29,14154
2016-01-31,13004
2015-12-31,18549
2015-11-30,17173
2015-10-31,18781
2015-09-30,22385
2015-08-31,22640
2015-07-31,26142
2015-06-30,21720
2015-05-31,15367
2015-04-30,16895
2015-03-31,15864
2015-02-28,12924
2015-01-31,12247
2014-12-31,13207
2014-11-30,9389
2014-10-31,9740
2014-09-30,9593
2014-08-31,10219
2014-07-31,12442
2014-06-30,10446
2014-05-31,8746
2014-04-30,9390
2014-03-31,8698
2014-02-28,10184
2014-01-31,10004
2013-12-31,13577
2013-11-30,11303
2013-10-31,14115
2013-09-30,12955
2013-08-31,14605
2013-07-31,17011
2013-06-30,13595
2013-05-31,12634
2013-04-30,12379
2013-03-31,10509
2013-02-28,8372
2013-01-31,9665
2012-12-31,9618
2012-11-30,7095
2012-10-31,8133
2012-09-30,6987
2012-08-31,8360
2012-07-31,9782
2012-06-30,8784
2012-05-31,7158
2012-04-30,6905
2012-03-31,7608
2012-02-29,6341
2012-01-31,11831
2011-12-31,14081
2011-11-30,9020
2011-10-31,8624
2011-09-30,9140
2011-08-31,10222
2011-07-31,11717
2011-06-30,12513
2011-05-31,13118
2011-04-30,12442
2011-03-31,15288
2011-02-28,13459
2011-01-31,14580
2010-12-31,23221
2010-11-30,14947
2010-10-31,12606
2010-09-30,13193
2010-08-31,13677
2010-07-31,16297
2010-06-30,14148
